IKIDEN	Country	prod1	prod2	prod3	prod4	prod5	prod6	prod7	prod8	prod9	prod10	prod11	prod12	prod13	prod14	prod15	prod16	prod17	prod18	prod19	prod20	prod21	prod22	prod23	prod24	prod25	prod26	prod27	prod28	prod29	prod30	Who	Frequence	When	Taste	Healthy	Pleasure	No preparation	Ways	Guest	Authentic	Not expensive	Supermarket	Deli	Caterer	Fish shop	Market	Mobile van	Everyday	Special	Day snack	Evening snack	Aperitif	Starter	Salad	Cooked meal	Sandwich	Main	Vegetable	Lemon	Bread, butter	Lemon, bread, butter	C. fraîche	C. fraîche with herbs	Fresh cheese	Fresh cheese with herbs	Shallots	Mustard	Butter	Black pepper	Horseradish	Scottish	Norwegian	Atlantic	Irish	Wild	Do not know	Colour	Price	Origin	Brand	Advertising	Glossiness	Packaging	Labelling information	Number slices	Weight	Use by date	Usual brand	Appetising	Firm	Regular	Nice colour	Nice odour	Smooth texture	Firm texture	Greasy mouth	Characteristic taste	Not too salty
5206	Lyon	-0,022	-0,6815	-0,6815	0,6376	1,2971	0,6376	1,2971	-1,3411	0,6376	1,2971	-1,3411	-1,3411	1,2971	-0,6815	0,6376	-1,3411	1,2971	0,6376	-0,022	-1,3411	-1,3411	1,2971	-0,6815	-1,3411	0,6376	-0,6815	-0,022	-0,6815	1,2971	0,6376	Both	5 to 6 times a year	Special celebration	Most. Agree	Neither	Comp. Agree	Neither	Most. Disa.	Most. Agree	Neither	Most. Disa.	Yes	No	No	No	No	No	No	Yes	No	No	Yes	Yes	No	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	Yes	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No	No	No	No	Yes	Yes	Yes	No	No	No	No	No
5207	Lyon	0,5351	-1,6343	-1,2004	0,969	1,4029	-1,6343	-1,2004	0,969	1,4029	-0,3326	0,969	0,5351	0,5351	-0,7665	-1,6343	-0,3326	0,1012	1,4029	-0,3326	-0,3326	-1,6343	0,5351	-0,3326	0,969	0,1012	-0,3326	0,969	1,4029	0,1012	-1,2004	Both	3 to 4 times a year	All year round	Comp. Agree	Neither	Comp. Agree	Comp. Disa.	Most. Agree	Comp. Agree	Most. Disa.	Most. Disa.	Yes	Yes	No	No	No	No	No	Yes	No	No	Yes	Yes	No	Yes	No	No	No	Yes	No	Yes	No	No	No	No	No	No	Yes	No	No	No	Yes	No	No	Yes	No	No	No	No	Yes	No	No	No	Yes	No	No	No	No	Yes	No	No	Yes	No	No	No	Yes	No	No
5208	Lyon	0,4537	-0,5933	0,1047	-0,5933	-0,9423	0,8027	-1,2913	0,8027	1,5007	0,1047	0,1047	1,5007	-0,5933	-0,2443	-0,9423	-0,5933	0,8027	-1,2913	-1,2913	0,4537	-0,5933	1,5007	1,1517	-0,9423	-0,9423	-1,2913	1,1517	-1,2913	1,5007	1,5007	Adults	5 to 6 times a year	All year round	Comp. Agree	Comp. Disa.	Most. Agree	Neither	Most. Disa.	Comp. Agree	Most. Agree	Comp. Disa.	Yes	No	No	No	Yes	No	Yes	Yes	No	Yes	No	Yes	No	Yes	No	Yes	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	No	No	No	No	No	No	Yes	No	No	No	No	No	No	Yes	Yes	No	No	Yes	No	No
5209	Lyon	-0,1881	1,066	1,693	-0,8152	1,693	-0,8152	-0,1881	1,066	0,4389	1,066	-2,0692	-0,8152	-0,8152	1,066	1,066	0,4389	-0,8152	-0,8152	-0,1881	-0,1881	1,066	-1,4422	0,4389	0,4389	-0,1881	-0,8152	0,4389	-1,4422	1,066	-1,4422	Both	Once a month	All year round	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Most. Agree	Neither	Yes	No	No	No	No	No	No	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	Yes	No	Yes	No	No	No	No	No	No	Yes	No	Yes	Yes	No	No	No	No	Yes	Yes	Yes	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	Yes	No	Yes	No	Yes
5210	Lyon	0,3878	-0,1939	-0,7756	0,3878	-0,1939	-1,3572	-0,1939	1,5511	0,9695	-0,1939	-0,7756	0,9695	0,3878	-1,3572	-0,1939	1,5511	-0,7756	0,3878	1,5511	-0,1939	0,3878	0,3878	0,3878	-0,7756	-1,9389	-0,1939	-0,1939	0,9695	-2,5206	1,5511	Both	Once a month	All year round	Most. Agree	Most. Agree	Most. Agree	Neither	Most. Agree	Most. Agree	Most. Agree	Neither	Yes	No	Yes	No	No	No	Yes	Yes	No	No	Yes	Yes	No	Yes	No	Yes	No	No	No	Yes	No	No	No	No	No	No	Yes	No	No	No	Yes	No	No	No	No	Yes	No	Yes	No	No	Yes	No	Yes	No	No	No	No	Yes	No	No	Yes	No	No	No	No	Yes	No
5211	Lyon	0,0781	0,6637	0,0781	1,2494	0,6637	1,2494	0,0781	1,2494	0,6637	1,2494	-1,0932	-1,0932	0,6637	-1,6789	-1,6789	0,6637	-0,5076	-1,6789	-1,0932	-0,5076	-1,6789	0,0781	0,0781	0,0781	-1,0932	-0,5076	1,2494	1,2494	1,2494	0,0781	Adults	Once every 2 weeks	All year round	Comp. Agree	Most. Agree	Comp. Agree	Neither	Most. Agree	Comp. Agree	Comp. Agree	Most. Agree	Yes	No	No	No	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No	No	No	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No	No	No	Yes	No	Yes	No
5301	Lyon	1,3581	1,3581	-0,6007	0,5746	0,1828	0,5746	0,9664	-0,2089	-0,2089	0,5746	-1,3842	0,9664	-0,9925	-0,9925	0,9664	0,1828	0,9664	-1,776	-0,6007	0,5746	-0,2089	0,5746	1,3581	-0,2089	-1,776	-0,9925	-1,3842	-1,776	0,9664	0,9664	Both	Once every 2 weeks	All year round	Comp. Agree	Neither	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Neither	Comp. Disa.	Yes	No	Yes	No	No	No	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	Yes	No	No	No	No	Yes	Yes	Yes	Yes	No	No	Yes	Yes	No	No	No	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No	No	No	No
5302	Lyon	-0,2497	0,5389	-0,644	-0,2497	1,3275	-0,644	0,1446	0,5389	-1,0383	0,9332	1,3275	1,3275	0,1446	-0,2497	1,3275	0,9332	-0,644	-0,2497	-1,4326	-1,8269	-1,8269	1,3275	0,1446	-1,8269	0,1446	0,5389	-0,2497	-1,4326	0,9332	0,9332	Both	Once a month	All year round	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Most. Agree	Comp. Disa.	Yes	No	No	Yes	No	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	No	Yes	No	No	No	No	Yes	No	No	No	Yes	No	No	No	Yes	No	No	Yes	No	No
5303	Lyon	0,2061	0,7681	0,2061	-1,4801	0,7681	-0,918	1,3302	-0,356	-2,0421	-0,918	-0,918	1,3302	-0,918	0,7681	-0,918	0,7681	-1,4801	-0,356	1,3302	-0,356	-0,356	0,7681	0,2061	-0,918	0,7681	-0,356	1,3302	0,7681	1,8922	-0,918	Both	Once a week or more	All year round	Comp. Agree	Neither	Comp. Agree	Comp. Agree	Comp. Agree	Most. Agree	Most. Agree	Most. Agree	Yes	No	No	No	No	No	Yes	No	No	No	No	Yes	No	Yes	Yes	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	No	No	No	Yes	Yes	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	No	Yes	No	No	No
5304	Lyon	0,6491	-1,069	-1,069	1,2218	-0,4963	0,6491	1,2218	1,2218	1,2218	1,2218	-1,069	0,6491	-1,069	1,2218	-1,6417	-1,069	0,6491	-1,069	-2,2144	-0,4963	-1,069	0,0764	-0,4963	0,6491	0,0764	-0,4963	0,0764	0,6491	1,2218	0,6491	Adults	Once every 2 weeks	All year round	Most. Agree	Neither	Comp. Agree	Neither	Most. Disa.	Comp. Agree	Neither	Most. Disa.	Yes	No	No	No	No	No	No	Yes	No	Yes	Yes	Yes	No	No	No	No	No	No	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	No	No	No	Yes	Yes	Yes	No	No	No	No	No	No	No	Yes	No	No	No	No	Yes	No	No	Yes	Yes	No	No
5305	Lyon	-1,0513	1,2015	-0,3004	0,4506	1,2015	-0,3004	0,4506	1,9524	-0,3004	-1,0513	-1,8023	-0,3004	0,4506	-1,0513	0,4506	0,4506	-0,3004	-0,3004	1,2015	0,4506	-1,8023	0,4506	-0,3004	0,4506	1,2015	-1,0513	1,2015	1,2015	-1,0513	-1,8023	Both	Once a month	All year round	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Yes	Yes	Yes	No	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	No	No	No	No	No	No	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	Yes	Yes	No	Yes	No	No	Yes	No	Yes	No	No	No	Yes	Yes	No	Yes	No	No	No	No
5306	Lyon	1,134	0,1334	-1,8677	1,134	1,134	1,134	0,6337	-0,3669	1,134	0,6337	1,134	-1,8677	0,1334	-1,8677	-0,8671	-2,368	0,1334	0,1334	-0,8671	0,6337	0,1334	0,6337	0,6337	0,6337	0,6337	0,1334	0,1334	-0,8671	-0,3669	-0,8671	Adults	Once a month	All year round	Comp. Agree	Most. Disa.	Most. Agree	Most. Agree	Most. Agree	Most. Agree	Comp. Disa.	Neither	Yes	No	No	No	No	No	No	Yes	No	No	No	Yes	No	No	No	No	No	Yes	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	Yes	Yes	No
5307	Lyon	-0,0287	0,4018	-1,3202	-0,0287	1,6933	-0,0287	-0,8897	0,4018	0,8323	-1,3202	-1,7507	-0,0287	0,8323	1,2628	-1,3202	-1,7507	-0,4592	-0,4592	1,2628	0,8323	0,8323	1,6933	-1,3202	-0,0287	0,8323	0,8323	-1,3202	0,4018	0,4018	-0,4592	Both	Once every 2 weeks	All year round	Comp. Agree	Neither	Comp. Agree	Neither	Comp. Agree	Comp. Agree	Most. Agree	Most. Disa.	Yes	No	No	No	No	No	No	Yes	No	No	No	Yes	No	No	No	No	No	Yes	No	No	Yes	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	Yes	No	Yes	No	No	Yes	Yes	No	No	No	No	No
5308	Lyon	-0,6322	0,4516	0,4516	0,4516	0,4516	-1,1741	-0,6322	0,9935	-0,0903	-2,2578	0,9935	-1,716	1,5353	-0,0903	0,9935	0,9935	-0,0903	0,4516	-1,1741	0,4516	-0,0903	-0,6322	-0,6322	-0,0903	0,9935	0,9935	0,4516	1,5353	-2,2578	-0,6322	Adults	Once every 2 weeks	All year round	Comp. Agree	Neither	Comp. Agree	Comp. Agree	Comp. Disa.	Comp. Agree	Comp. Agree	Neither	Yes	No	No	No	No	No	Yes	No	No	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	Yes	No	No	Yes	No	Yes	No	No	No	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	No	No	No	No	No	Yes
5310	Lyon	0,2548	0,2548	-0,7645	0,2548	0,7645	1,2741	0,7645	-0,2548	1,2741	1,7838	-1,2741	0,2548	-0,7645	-1,2741	1,2741	-0,7645	0,2548	-1,2741	-0,7645	-0,7645	-2,2934	-1,2741	0,2548	-0,2548	-0,7645	-0,2548	0,2548	1,2741	1,2741	1,2741	Adults	Once every 6 months	Special celebration	Most. Agree	Neither	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Neither	Neither	Yes	No	No	No	No	No	No	Yes	No	No	Yes	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No	Yes	No	No	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	No	Yes	No	No	Yes	No	No	No	No	Yes	No	No	No	Yes	No	Yes
5311	Lyon	0,237	0,7111	0,237	0,237	0,7111	0,237	0,237	1,1851	0,7111	0,237	-1,6592	-2,6072	-1,1851	-2,1332	0,7111	1,1851	-1,1851	0,237	1,1851	0,237	0,7111	-0,237	-0,237	-0,7111	-0,7111	1,1851	-0,237	0,7111	-1,1851	1,1851	Both	Once a month	All year round	Comp. Agree	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Neither	Most. Disa.	Yes	Yes	No	No	No	No	Yes	No	Yes	No	No	No	Yes	No	Yes	Yes	No	No	Yes	No	No	Yes	No	No	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	Yes	Yes	Yes	No	No	No	No	No	No	Yes	No	No	Yes	No	No	No	No	Yes	No	No	Yes
5312	Lyon	1,0558	-1,9813	0,6219	0,6219	1,0558	-0,2459	-0,2459	-0,2459	1,0558	-0,2459	1,0558	1,0558	1,0558	0,6219	0,6219	-0,2459	0,188	1,4896	-1,9813	-0,2459	-1,9813	-0,2459	-0,6797	-0,2459	-1,5475	0,188	0,6219	-0,6797	1,0558	-1,5475	Both	Once a month	All year round	Comp. Agree	Neither	Comp. Agree	Neither	Neither	Comp. Agree	Comp. Agree	Neither	Yes	No	No	No	No	No	Yes	No	No	No	No	Yes	No	Yes	No	No	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	No	No	No	Yes	No	No	No	No	No	No	Yes	Yes	No	Yes	No	No	No	No	No	No
5401	Lyon	1,3933	-1,7732	-0,5066	0,1267	0,1267	0,1267	0,1267	0,1267	0,76	-1,7732	0,76	0,76	0,1267	0,76	-1,7732	0,1267	-1,7732	0,76	0,76	0,76	-0,5066	0,76	1,3933	0,1267	-0,5066	0,1267	1,3933	-0,5066	0,1267	-2,4065	Both	Once every 2 weeks	Only the winter	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Neither	Yes	No	No	No	No	No	No	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No	No	No	Yes	No	Yes	No	No	No	No	No	Yes	No	Yes	Yes	No	Yes	No	No	Yes	Yes	Yes	No	No	Yes	No	Yes	No	No	No	No	Yes	No	No	Yes	No	Yes	No	No	No	No
5403	Lyon	1,4186	1,4186	0,1545	0,9972	0,9972	-1,1096	0,5759	-0,6882	-0,6882	-1,1096	-0,2669	-0,2669	-0,2669	1,4186	-0,2669	-0,6882	0,1545	0,5759	0,1545	-0,6882	1,4186	-1,531	-1,531	-1,531	-0,6882	0,5759	0,9972	1,84	0,1545	-1,531	Both	Once a month	Only the winter	Most. Agree	Neither	Comp. Agree	Comp. Agree	Neither	Comp. Agree	Neither	Neither	Yes	Yes	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No	Yes	No	No	No	No	No	No	No	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	Yes	No	No	No	Yes	No	No	No	No	Yes
5404	Lyon	0,5538	1,1928	-0,7242	-0,7242	-0,0852	-0,0852	-0,7242	-2,0023	0,5538	-1,3632	0,5538	1,1928	-0,7242	0,5538	-2,0023	-0,7242	-1,3632	-0,0852	-0,7242	1,1928	1,1928	0,5538	1,8319	-0,0852	-0,7242	1,1928	1,1928	0,5538	-0,7242	0,5538	Both	Once a month	All year round	Most. Agree	Most. Agree	Neither	Most. Agree	Most. Agree	Most. Agree	Neither	Most. Disa.	Yes	No	No	No	No	No	Yes	No	Yes	No	Yes	Yes	No	Yes	No	No	No	No	Yes	No	No	No	No	No	Yes	No	No	No	No	Yes	Yes	No	No	No	No	Yes	No	Yes	No	No	No	No	Yes	No	No	Yes	No	Yes	No	No	Yes	Yes	No	No	No	No	No
5405	Lyon	1,1267	-0,8048	0,161	1,1267	0,161	-0,8048	0,161	-0,8048	0,161	0,161	1,1267	-1,7705	0,161	-0,8048	2,0924	0,161	-1,7705	0,161	0,161	-0,8048	-0,8048	-0,8048	-1,7705	1,1267	1,1267	1,1267	1,1267	1,1267	-0,8048	-0,8048	Adults	5 to 6 times a year	Special celebration	Comp. Agree	Comp. Agree	Most. Agree	Comp. Agree	Most. Agree	Most. Agree	Comp. Agree	Most. Agree	Yes	No	No	Yes	No	No	No	Yes	No	No	Yes	Yes	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	Yes	Yes	No	No	No	No	Yes	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	Yes	No	No	Yes	No	No	No
5406	Lyon	-1,4446	-0,859	0,3123	2,655	0,898	-0,2733	0,898	0,3123	0,898	-0,859	-0,859	-0,2733	-0,2733	-1,4446	1,4837	-0,2733	0,3123	-0,2733	1,4837	-0,2733	-1,4446	0,3123	0,898	-0,859	-1,4446	-0,2733	0,3123	-0,859	-0,2733	1,4837	Adults	5 to 6 times a year	All year round	Comp. Agree	Most. Agree	Comp. Agree	Neither	Most. Agree	Most. Agree	Neither	Most. Disa.	Yes	No	No	No	No	No	Yes	No	No	No	Yes	Yes	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No	No	Yes	No	Yes	No	No	No	No	Yes	No	No	No	No	Yes	No	No	No	Yes	No	No	Yes	No	No
5407	Lyon	-1,1487	-0,6103	-0,0718	-0,0718	-0,6103	0,4667	-1,1487	-0,0718	-0,6103	-0,0718	1,5436	-0,0718	0,4667	2,0821	-1,1487	2,0821	-0,6103	-1,1487	-1,1487	-1,1487	1,0051	-0,0718	-0,6103	-0,6103	-0,6103	1,5436	0,4667	2,0821	-0,0718	-0,0718	Adults	Once every 2 weeks	All year round	Comp. Agree	Neither	Comp. Agree	Comp. Agree	Most. Agree	Comp. Agree	Most. Agree	Most. Agree	No	No	Yes	No	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	No	Yes	No	Yes	No	No	No	No	No	No	No	Yes	No	No	Yes	No	No	Yes	No	Yes	No	No	Yes	No	Yes	Yes	No	No	No	Yes	No	No	Yes	No	Yes	No	No	No	No
